ear,mar,pitch,yaw,vit_state,label
0.251,0.0608,-3.13,6.4,0,1
0.2489,0.081,-0.06,6.14,0,1
0.228,0.1023,1.0,7.51,0,1
0.2383,0.0504,0.16,7.83,0,1
0.2496,0.0129,1.41,8.44,0,1
0.254,0.0129,0.88,8.1,0,1
0.2574,0.0249,0.57,7.92,0,1
0.2323,0.024,0.4,6.64,0,1
0.258,0.061,-1.45,6.48,0,1
0.2354,0.0239,-0.65,6.54,0,1
0.209,0.0,-1.61,5.18,0,1
0.2337,0.0344,-1.83,5.0,0,1
0.2348,0.0478,-1.16,4.01,0,1
0.2332,0.0924,-1.74,5.18,0,1
0.2325,0.0345,-1.72,5.71,0,1
0.1517,0.0939,-1.68,5.82,0,1
0.2131,0.0467,-1.94,4.72,0,1
0.2285,0.0471,-2.22,2.9,0,1
0.2395,0.0909,-3.09,2.66,0,1
0.2295,0.0677,-2.94,2.43,0,1
0.224,0.0451,-2.65,2.25,0,1
0.24,0.0331,-2.3,2.07,0,1
0.2342,0.0222,-2.45,1.89,0,1
0.2402,0.0226,-1.79,1.61,0,1
0.2114,0.0566,-1.81,2.17,0,1
0.2127,0.0447,-1.15,2.63,0,1
0.2174,0.0792,-0.68,3.16,0,1
0.2336,0.0828,-0.76,4.06,0,1
0.2142,0.1176,-0.18,4.21,0,1
0.199,0.1167,-0.15,4.45,0,1
0.2246,0.1661,-0.24,4.79,0,1
0.2302,0.1331,-0.03,4.81,0,1
0.2334,0.1851,0.09,5.17,0,1
0.1131,0.1649,0.2,4.11,0,1
0.2068,0.1938,-0.55,4.3,0,1
0.218,0.1745,-0.86,3.11,0,1
0.23,0.1892,-1.67,2.05,0,1
0.2306,0.2026,-2.45,0.76,0,1
0.2285,0.1605,-2.46,0.75,0,1
0.2381,0.1949,-2.82,0.83,0,1
0.1412,0.1738,-1.65,1.38,0,1
0.1066,0.1543,-1.97,2.83,0,1
0.2202,0.202,-2.01,3.89,0,1
0.2355,0.1763,-2.52,4.59,0,1
0.2418,0.1378,-1.52,4.7,0,1
0.2422,0.0669,-1.7,4.88,0,1
0.212,0.0455,-1.68,5.08,0,1
0.2406,0.1182,-2.09,5.99,0,1
0.2411,0.0723,-1.6,7.4,0,1
0.2651,0.0725,-2.16,7.63,0,1
0.2558,0.1243,-3.05,9.05,0,1
0.1056,0.0956,-1.84,11.91,0,1
0.2154,0.0954,-3.2,13.6,1,1
0.3463,0.1705,-3.3,15.92,1,1
0.4726,0.1718,-4.87,15.96,0,1
0.5439,0.1818,-5.17,16.09,0,1
0.5856,0.2546,-6.64,17.24,1,1
0.6023,0.3535,-8.94,17.18,0,1
0.2439,0.3611,-6.76,16.11,0,1
0.1498,0.3172,-4.28,14.45,0,1
0.2395,0.3637,-3.35,11.21,0,1
0.2311,0.5046,-2.48,9.66,0,1
0.2126,0.6298,0.02,9.24,0,1
0.2195,0.6851,-0.82,8.02,0,1
0.2092,0.7264,-0.84,7.26,0,1
0.1891,0.7392,-1.26,5.41,0,1
0.2032,0.7047,-1.62,3.94,0,1
0.1926,0.7788,-0.8,3.18,0,1
0.2213,0.6485,-0.01,3.19,0,1
0.2058,0.6312,-0.24,2.68,0,1
0.1994,0.6364,0.34,2.08,0,1
0.2053,0.6529,0.35,2.09,0,1
0.206,0.7126,0.66,1.42,0,1
0.2099,0.746,0.5,1.06,0,1
0.2077,0.7607,0.4,1.56,0,1
0.1999,0.7003,0.11,1.69,0,1
0.2353,0.6025,0.0,2.76,0,1
0.2214,0.5182,-0.43,3.23,0,1
0.2004,0.4059,0.03,3.7,0,1
0.2136,0.1623,-1.77,4.25,0,1
0.1801,0.1049,-2.63,3.62,0,1
0.2016,0.1052,-2.79,4.13,0,1
0.1834,0.1146,-2.26,3.81,0,1
0.1638,0.1042,-2.13,4.06,0,1
0.1838,0.1131,-2.45,3.82,0,1
0.1811,0.1385,-2.55,3.8,0,1
0.174,0.0689,-2.39,3.65,0,1
0.1961,0.1389,-2.62,4.02,0,1
0.1855,0.1151,-2.61,4.4,0,1
0.1999,0.0922,-2.75,4.9,0,1
0.1913,0.0595,-2.55,4.54,0,1
0.2034,0.115,-2.71,4.96,0,1
0.2002,0.0588,-2.68,4.98,0,1
0.2113,0.1019,-3.3,5.26,0,1
0.2143,0.1258,-3.17,5.32,0,1
0.0706,0.0559,-2.27,5.7,0,1
0.0636,0.0819,-1.67,6.11,0,1
0.1877,0.0229,-2.59,5.82,0,1
0.221,0.0113,-2.58,5.72,0,1
0.2028,0.0,-2.31,5.21,0,1
0.2075,0.0108,-2.35,5.33,0,1
0.191,0.0108,-2.0,5.22,0,1
0.2094,0.0,-1.96,5.97,0,1
0.218,0.0,-2.82,6.15,0,1
0.22,0.0112,-2.83,5.43,0,1
0.2029,0.0,-3.15,5.25,0,1
0.2244,0.011,-2.61,5.43,0,1
0.2385,0.0,-2.45,6.21,0,1
0.2006,0.0113,-3.14,6.53,0,1
0.2402,0.0115,-2.14,6.77,0,1
0.2248,0.0,-3.15,7.36,0,1
0.2342,0.0117,-3.83,6.25,0,1
0.239,0.0118,-3.81,5.71,0,1
0.2075,0.0118,-4.34,5.81,0,1
0.1668,0.0159,-3.39,5.49,0,1
0.2132,0.0246,-3.12,4.86,0,1
0.2261,0.0,-3.39,3.75,0,1
0.0619,0.0,-4.01,0.2,0,1
0.1677,0.0,-3.88,-5.93,0,1
0.2402,0.0,-3.89,-8.08,0,1
0.2424,0.0112,-2.37,-9.84,0,1
0.2706,0.0,-1.71,-10.47,0,1
0.2634,0.0,-1.9,-11.14,0,1
0.2901,0.0,-1.94,-11.33,0,1
0.2966,0.0,-1.16,-11.63,0,1
0.293,0.0119,-1.19,-11.17,0,1
0.0964,0.0,-1.73,-10.22,0,1
0.2843,0.0108,-1.82,-8.12,0,1
0.283,0.0,-1.46,-6.68,0,1
0.2888,0.0,-1.96,-5.44,0,1
0.278,0.0103,-2.74,-4.02,0,1
0.2834,0.0,-3.87,-2.86,0,1
0.267,0.0102,-4.13,-1.93,0,1
0.2676,0.0102,-4.03,-1.36,0,1
0.271,0.0,-4.13,-0.92,0,1
0.2548,0.0,-3.64,-0.15,0,1
0.2549,0.0322,-4.34,0.99,0,1
0.2336,0.1123,-3.82,1.89,0,1
0.2376,0.1249,-3.91,2.02,0,1
0.2275,0.1096,-3.18,2.45,0,1
0.1999,0.0643,-3.08,2.71,0,1
0.2109,0.0533,-2.23,2.64,0,1
0.2182,0.0423,-1.83,2.8,0,1
0.2179,0.0104,-2.76,2.46,0,1
0.2181,0.021,-2.81,1.92,0,1
0.2248,0.0429,-2.63,1.63,0,1
0.2288,0.0104,-2.49,2.0,0,1
0.2424,0.0103,-2.61,2.17,0,1
0.218,0.0208,-2.79,2.24,0,1
0.2471,0.0144,-2.42,2.82,0,1
0.2202,0.0105,-2.13,3.35,0,1
0.2138,0.0,-2.45,4.01,0,1
0.2317,0.0103,-2.15,3.99,0,1
0.2414,0.0105,-1.94,4.12,0,1
0.0715,0.0,-1.04,3.71,0,1
0.231,0.0,-1.88,4.64,0,1
0.2238,0.0,-1.28,4.38,0,1
0.2144,0.0,-1.08,4.44,0,1
0.2229,0.0,-1.55,4.58,0,1
0.2319,0.0,-1.27,4.48,0,1
0.077,0.0,-0.71,4.55,0,1
0.159,0.0,-1.05,4.65,0,1
0.1962,0.0148,-1.04,4.42,0,1
0.2356,0.0,-1.39,4.16,0,1
0.2101,0.0,-1.9,4.44,0,1
0.224,0.0,-1.19,4.78,0,1
0.2507,0.0,-0.99,4.85,0,1
0.2132,0.0,-1.35,4.77,0,1
0.2187,0.0,-1.41,4.98,0,1
0.2245,0.0,-1.29,4.91,0,1
0.2186,0.0,-1.79,5.23,0,1
0.2226,0.0,-1.6,4.75,0,1
0.1971,0.0,-1.61,4.73,0,1
0.1961,0.0227,-0.92,5.04,0,1
0.2103,0.0225,-1.34,5.08,0,1
0.2036,0.0455,-1.39,4.75,0,1
0.2065,0.0334,-1.6,4.86,0,1
0.2105,0.022,-1.66,4.43,0,1
0.223,0.0161,-1.47,4.64,0,1
0.2733,0.0,1.52,3.71,0,1
0.2629,0.0,0.88,3.4,0,1
0.2534,0.0,0.76,3.19,0,1
0.259,0.0196,0.73,3.23,0,1
0.2946,0.0,1.15,3.58,0,1
0.2494,0.0188,0.93,3.62,0,1
0.2652,0.0,1.09,3.34,0,1
0.2538,0.0192,1.34,3.3,0,1
0.2557,0.0,1.11,3.29,0,1
0.2746,0.0,1.25,3.6,0,1
0.2743,0.0,1.03,3.61,0,1
0.2761,0.0,1.14,3.31,0,1
0.2592,0.0,1.22,3.02,0,1
0.2894,0.0,0.94,2.98,0,1
0.2762,0.0,1.45,3.39,0,1
0.2554,0.0,1.13,3.33,0,1
0.2696,0.0,1.13,3.44,0,1
0.2769,0.0192,0.93,3.28,0,1
0.2652,0.0,1.4,3.57,0,1
0.2564,0.0,1.23,3.33,0,1
0.2625,0.0,1.43,2.89,0,1
0.1686,0.0188,0.77,3.05,0,1
0.1327,0.0,0.88,3.23,0,1
0.2224,0.0195,1.12,1.8,0,1
0.2922,0.0,1.68,1.27,0,1
0.2988,0.0,1.4,-0.02,0,1
0.2857,0.0188,1.2,-0.37,0,1
0.291,0.0,1.71,-0.41,0,1
0.2569,0.0,1.68,-0.28,1,1
0.1485,0.0,1.29,0.02,0,1
0.0968,0.0,1.59,0.07,0,1
0.2399,0.0,0.85,0.84,0,1
0.2555,0.0188,1.49,1.4,0,1
0.2665,0.0188,1.78,1.43,0,1
0.2516,0.0,1.69,2.13,0,1
0.2632,0.0,1.63,1.94,0,1
0.2547,0.0,1.56,2.21,0,1
0.254,0.0185,1.4,2.51,0,1
0.2658,0.0,1.29,2.95,0,1
0.2701,0.0,1.45,2.61,0,1
0.2598,0.0,1.77,2.26,0,1
0.2561,0.0,1.53,2.43,0,1
0.2505,0.0,1.25,2.43,0,1
0.2512,0.0188,0.88,2.76,0,1
0.2496,0.0,1.26,2.54,0,1
0.2542,0.0185,1.15,2.64,0,1
0.2673,0.0,0.9,3.03,0,1
0.2597,0.0,1.09,2.55,0,1
0.2778,0.0195,1.08,2.48,0,1
0.2814,0.0,1.26,2.73,0,1
0.2536,0.0195,1.69,2.83,0,1
0.2583,0.0188,1.53,2.93,0,1
0.2458,0.0185,1.34,2.62,0,1
0.2829,0.0,1.78,2.96,0,1
0.2434,0.0192,1.76,3.03,0,1
0.2762,0.0,1.82,3.21,0,1
0.2593,0.0,2.05,3.36,0,1
0.2435,0.0192,1.61,3.08,0,1
0.2375,0.0,1.33,3.1,0,1
0.2507,0.0,1.31,3.12,0,1
0.2642,0.0,1.5,2.95,0,1
0.2548,0.0,1.31,2.79,0,1
0.2416,0.0,1.17,2.74,0,1
0.2582,0.0184,1.28,2.53,0,1
0.2573,0.0,1.56,2.66,0,1
0.2626,0.0,1.45,2.72,0,1
0.2561,0.0,1.33,2.34,0,1
0.27,0.0188,0.92,2.67,0,1
0.2583,0.0192,1.42,2.49,0,1
0.2805,0.0,1.23,2.41,0,1
0.2634,0.0,1.31,2.67,0,1
0.2926,0.0188,1.24,3.14,0,1
0.2714,0.0192,1.28,3.0,0,1
0.2788,0.0,1.73,2.99,0,1
0.2788,0.0,0.94,3.17,0,1
0.2683,0.0,1.06,3.22,0,1
0.2613,0.0,1.2,3.26,0,1
0.2817,0.0,1.1,3.23,0,1
0.2666,0.0,0.79,3.44,0,1
0.1322,0.0,0.73,3.62,0,1
0.0501,0.0,0.33,3.31,0,1
0.0368,0.0,1.26,3.87,0,1
0.1472,0.0,0.84,3.21,0,1
0.1689,0.0,0.87,3.2,0,1
0.1778,0.0192,1.15,3.71,0,1
0.1562,0.0196,0.89,3.53,0,1
0.0503,0.0185,0.46,3.67,0,1
0.0547,0.0,0.83,3.91,0,1
0.2143,0.0,1.14,3.82,0,1
0.2692,0.0196,0.91,4.07,0,1
0.2731,0.0192,0.86,3.88,0,1
0.2733,0.0,1.03,3.78,0,1
0.2707,0.0192,1.25,3.09,0,1
0.2714,0.0192,1.17,4.39,0,1
0.2703,0.0,0.72,3.66,0,1
0.2764,0.0,1.16,3.89,0,1
0.2734,0.0,1.17,3.35,0,1
0.2705,0.0,1.25,4.06,0,1
0.2671,0.0,1.36,4.13,0,1
0.2611,0.0,1.77,3.74,0,1
0.2629,0.0,1.08,4.02,0,1
0.2911,0.0,1.32,3.71,0,1
0.2688,0.0,1.13,4.07,0,1
0.2551,0.0,0.88,3.91,0,1
0.2751,0.0,1.76,3.55,0,1
0.2551,0.0,0.93,4.05,0,1
0.2719,0.0,0.97,4.38,0,1
0.2733,0.0,0.84,3.77,0,1
0.2459,0.0,0.72,3.73,0,1
0.2769,0.0196,0.92,3.72,0,1
0.2604,0.0192,0.46,4.07,0,1
0.1637,0.0,1.1,4.7,0,1
0.0636,0.0,1.2,4.69,0,1
0.0731,0.0,1.18,6.19,0,1
0.119,0.0,1.15,8.44,0,1
0.2202,0.0213,1.81,9.45,0,1
0.3078,0.0,1.65,10.87,0,1
0.2906,0.0,1.39,11.83,0,1
0.3002,0.0244,2.59,10.96,0,1
0.2685,0.0,1.59,11.56,0,1
0.0933,0.0,0.79,11.1,0,1
0.0475,0.0,0.79,10.02,0,1
0.0658,0.0204,0.85,8.09,0,1
0.2457,0.0,0.94,6.91,0,1
0.2634,0.0,1.28,5.93,0,1
0.2806,0.0,2.4,6.39,0,1
0.2859,0.0,0.85,5.19,0,1
0.2767,0.02,0.87,4.86,0,1
0.2878,0.0192,1.33,4.78,0,1
0.2704,0.0,1.22,4.24,0,1
0.2834,0.0,1.01,4.45,0,1
0.2697,0.0,2.04,4.41,0,1
0.2556,0.0,1.06,4.44,0,1
0.2926,0.0,1.22,3.96,0,1
0.2723,0.0192,1.71,3.85,0,1
0.2781,0.0,0.89,4.44,0,1
0.2788,0.0,1.05,4.04,0,1
0.2673,0.0,0.96,3.73,0,1
0.2611,0.0,0.47,3.79,0,1
0.3066,0.0,0.6,4.24,0,1
0.2819,0.0,1.02,3.89,0,1
0.2766,0.0192,0.47,3.73,0,1
0.2837,0.0,0.62,3.67,0,1
0.2971,0.0,1.2,3.88,0,1
0.2984,0.0,0.98,4.04,0,1
0.2798,0.0,0.68,3.72,0,1
0.2928,0.0,0.72,3.95,0,1
0.2698,0.0,0.94,3.77,0,1
0.2846,0.0,0.76,4.03,0,1
0.2715,0.0,0.76,3.74,0,1
0.3036,0.0192,0.68,3.76,0,1
0.2632,0.0,0.96,3.42,0,1
0.2823,0.0,0.58,3.74,0,1
0.2759,0.0,0.83,4.17,0,1
0.2626,0.0188,0.52,4.07,0,1
0.2776,0.0189,0.69,3.45,0,1
0.2796,0.0,0.4,3.81,0,1
0.2748,0.0192,0.93,4.23,0,1
0.2889,0.0,0.66,4.23,0,1
0.2752,0.0192,0.65,3.78,0,1
0.2676,0.0189,0.44,3.81,0,1
0.2752,0.0,0.38,4.25,0,1
0.2521,0.0,0.6,3.74,0,1
0.259,0.0,0.65,4.08,0,1
0.2695,0.0,0.65,3.91,0,1
0.2584,0.0,0.62,3.69,0,1
0.2975,0.0,0.69,4.22,0,1
0.2761,0.0,0.59,4.06,0,1
0.2789,0.0,0.81,4.08,0,1
0.1921,0.0,0.67,4.26,0,1
0.1396,0.0,0.66,4.02,0,1
0.1842,0.0196,1.08,4.52,0,1
0.2607,0.0,0.51,4.13,0,1
0.2734,0.0,0.71,4.26,0,1
0.2561,0.0192,0.73,4.14,0,1
0.2608,0.0,1.19,4.19,0,1
0.2648,0.0196,0.85,3.84,0,1
0.2438,0.0,0.84,4.13,0,1
0.2651,0.0,1.11,4.04,0,1
0.2579,0.0,0.94,4.02,0,1
0.2395,0.0,0.79,3.79,0,1
0.2629,0.0,1.15,4.23,0,1
0.2659,0.0,1.29,3.8,0,1
0.266,0.0,0.94,4.19,0,1
0.28,0.0,1.54,4.56,0,1
0.2655,0.0,1.55,4.4,0,1
0.2514,0.0189,1.53,4.07,0,1
0.261,0.0,0.95,4.47,0,1
0.2587,0.0196,1.79,4.66,0,1
0.2636,0.0,1.09,4.47,0,1
0.2754,0.0,0.95,4.61,0,1
0.2496,0.0,1.21,4.6,0,1
0.2606,0.0,0.74,4.38,0,1
0.267,0.0,0.71,4.46,0,1
0.2789,0.0,0.6,4.2,0,1
0.2785,0.0,0.92,4.38,0,1
0.2613,0.0,0.22,4.26,0,1
0.2635,0.0,0.5,4.09,0,1
0.2622,0.0,0.96,4.45,0,1
0.2783,0.0,1.01,4.69,0,1
0.2741,0.0189,0.99,4.53,0,1
0.2602,0.0,1.16,4.15,0,1
0.2697,0.0,0.52,4.79,0,1
0.2628,0.0,1.3,4.43,0,1
0.2765,0.0192,1.29,4.78,0,1
0.2523,0.0,0.98,4.41,0,1
